Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Creighton,3,76.0,Louisiana-Lafayette,14,66.0,Creighton,True,2014,1
Oregon,7,87.0,BYU,10,68.0,Oregon,True,2014,1
Wisconsin,2,75.0,American,15,35.0,Wisconsin,True,2014,1
Virginia,1,70.0,Coastal Carolina,16,59.0,Virginia,True,2014,1
Memphis,8,71.0,George Washington,9,66.0,Memphis,True,2014,1
Cincinnati,5,57.0,Harvard,12,61.0,Harvard,False,2014,1
Michigan State,4,93.0,Delaware,13,78.0,Michigan State,True,2014,1
North Carolina,6,79.0,Providence,11,77.0,North Carolina,True,2014,1
Iowa State,3,93.0,NC Central,14,75.0,Iowa State,True,2014,1
UConn,7,89.0,Saint Joseph's,10,81.0,UConn,True,2014,1
Villanova,2,73.0,Milwaukee,15,53.0,Villanova,True,2014,1
Florida,1,67.0,Albany,16,55.0,Florida,True,2014,1
Colorado,8,48.0,Pittsburgh,9,77.0,Pittsburgh,False,2014,1
VCU,5,75.0,Stephen F. Austin,12,77.0,Stephen F. Austin,False,2014,1
UCLA,4,76.0,Tulsa,13,59.0,UCLA,True,2014,1
Ohio State,6,59.0,Dayton,11,60.0,Dayton,False,2014,1
Syracuse,3,77.0,Western Michigan,14,53.0,Syracuse,True,2014,1
New Mexico,7,53.0,Stanford,10,58.0,Stanford,False,2014,1
Kansas,2,80.0,Eastern Kentucky,15,69.0,Kansas,True,2014,1
Wichita State,1,64.0,Cal Poly,16,37.0,Wichita State,True,2014,1
Kentucky,8,56.0,Kansas State,9,49.0,Kentucky,True,2014,1
Saint Louis,5,83.0,NC State,12,80.0,Saint Louis,True,2014,1
Louisville,4,71.0,Manhattan,13,64.0,Louisville,True,2014,1
Massachusetts,6,67.0,Tennessee,11,86.0,Tennessee,False,2014,1
Duke,3,71.0,Mercer,14,78.0,Mercer,False,2014,1
Texas,7,87.0,Arizona State,10,85.0,Texas,True,2014,1
Michigan,2,57.0,Wofford,15,40.0,Michigan,True,2014,1
Arizona,1,84.0,Gonzaga,8,61.0,Arizona,True,2014,2
North Dakota State,12,44.0,San Diego State,4,63.0,San Diego State,False,2014,2
Baylor,6,85.0,Creighton,3,55.0,Baylor,True,2014,2
Oregon,7,77.0,Wisconsin,2,85.0,Wisconsin,False,2014,2
Virginia,1,78.0,Memphis,8,60.0,Virginia,True,2014,2
Harvard,12,73.0,Michigan State,4,80.0,Michigan State,False,2014,2
North Carolina,6,83.0,Iowa State,3,85.0,Iowa State,False,2014,2
UConn,7,77.0,Villanova,2,65.0,UConn,True,2014,2
Florida,1,61.0,Pittsburgh,9,45.0,Florida,True,2014,2
Stephen F. Austin,12,60.0,UCLA,4,77.0,UCLA,False,2014,2
