Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
West Virginia,5,68.0,Buffalo,12,62.0,West Virginia,True
Maryland,4,65.0,Valparaiso,13,62.0,Maryland,True
Butler,6,56.0,Texas,11,48.0,Butler,True
Notre Dame,3,69.0,Northeastern,14,65.0,Notre Dame,True
Wichita State,7,81.0,Indiana,10,76.0,Wichita State,True
Kansas,2,75.0,New Mexico State,15,56.0,Kansas,True
Wisconsin,1,72.0,Oregon,8,65.0,Wisconsin,True
Arkansas,5,78.0,North Carolina,4,87.0,North Carolina,False
Xavier,6,75.0,Georgia State,14,67.0,Xavier,True
Ohio State,10,58.0,Arizona,2,73.0,Arizona,False
Villanova,1,68.0,North Carolina State,8,71.0,North Carolina State,False
Northern Iowa,5,53.0,Louisville,4,66.0,Louisville,False
Dayton,11,66.0,Oklahoma,3,72.0,Oklahoma,False
Michigan State,7,60.0,Virginia,2,54.0,Michigan State,True
Duke,1,68.0,San Diego State,8,49.0,Duke,True
Utah,5,75.0,Georgetown,4,64.0,Utah,True
UCLA,11,92.0,UAB,14,75.0,UCLA,True
Iowa,7,68.0,Gonzaga,2,87.0,Gonzaga,False
Kentucky,1,64.0,Cincinnati,8,51.0,Kentucky,True
West Virginia,5,69.0,Maryland,4,59.0,West Virginia,True
Butler,6,64.0,Notre Dame,3,67.0,Notre Dame,False
Wichita State,7,78.0,Kansas,2,65.0,Wichita State,True
Wisconsin,1,79.0,North Carolina,4,72.0,Wisconsin,True
Xavier,6,60.0,Arizona,2,68.0,Arizona,False
North Carolina State,8,65.0,Louisville,4,75.0,Louisville,False
Oklahoma,3,58.0,Michigan State,7,62.0,Michigan State,False
Duke,1,63.0,Utah,5,57.0,Duke,True
UCLA,11,62.0,Gonzaga,2,74.0,Gonzaga,False
Kentucky,1,78.0,West Virginia,5,39.0,Kentucky,True
Notre Dame,3,81.0,Wichita State,7,70.0,Notre Dame,True
Wisconsin,1,85.0,Arizona,2,78.0,Wisconsin,True
Louisville,4,70.0,Michigan State,7,76.0,Michigan State,False
Duke,1,66.0,Gonzaga,2,52.0,Duke,True
Kentucky,1,68.0,Notre Dame,3,66.0,Kentucky,True
Kentucky,1,64.0,Wisconsin,1,71.0,Wisconsin,False
Michigan State,7,61.0,Duke,1,81.0,Duke,False
Wisconsin,1,63.0,Duke,1,68.0,Duke,False
Oregon,1,91.0,Holy Cross,16,52.0,Oregon,True
Saint Joseph's,8,78.0,Cincinnati,9,76.0,Saint Joseph's,True
Baylor,5,75.0,Yale,12,79.0,Yale,False
Duke,4,93.0,UNC Wilmington,13,85.0,Duke,True
Texas,6,72.0,Northern Iowa,11,75.0,Northern Iowa,False
Texas A&M,3,92.0,Green Bay,14,65.0,Texas A&M,True
Oregon State,7,67.0,VCU,10,75.0,VCU,False
Oklahoma,2,82.0,Cal State Bakersfield,15,68.0,Oklahoma,True
North Carolina,1,83.0,Florida Gulf Coast,16,67.0,North Carolina,True
USC,8,69.0,Providence,9,70.0,Providence,False
Indiana,5,99.0,Chattanooga,12,74.0,Indiana,True
Kentucky,4,85.0,Stony Brook,13,57.0,Kentucky,True
Notre Dame,6,70.0,Michigan,11,63.0,Notre Dame,True
West Virginia,3,56.0,Stephen F. Austin,14,70.0,Stephen F. Austin,False
Wisconsin,7,47.0,Pittsburgh,10,43.0,Wisconsin,True
Xavier,2,71.0,Weber State,15,53.0,Xavier,True
Kansas,1,105.0,Austin Peay,16,79.0,Kansas,True
Colorado,8,67.0,UConn,9,74.0,UConn,False
Maryland,5,79.0,South Dakota State,12,74.0,Maryland,True
California,4,66.0,Hawaii,13,77.0,Hawaii,False
Arizona,6,55.0,Wichita State,11,65.0,Wichita State,False
Miami (FL),3,79.0,Buffalo,14,72.0,Miami (FL),True
Iowa,7,72.0,Temple,10,70.0,Iowa,True
Villanova,2,86.0,UNC Asheville,15,56.0,Villanova,True
Virginia,1,81.0,Hampton,16,45.0,Virginia,True
Texas Tech,8,61.0,Butler,9,71.0,Butler,False
Purdue,5,83.0,Little Rock,12,85.0,Little Rock,False
Iowa State,4,94.0,Iona,13,81.0,Iowa State,True
Seton Hall,6,52.0,Gonzaga,11,68.0,Gonzaga,False
Utah,3,80.0,Fresno State,14,69.0,Utah,True
Dayton,7,51.0,Syracuse,10,70.0,Syracuse,False
Michigan State,2,81.0,Middle Tennessee,15,90.0,Middle Tennessee,False
Oregon,1,69.0,Saint Joseph's,8,64.0,Oregon,True
Yale,12,64.0,Duke,4,71.0,Duke,False
Northern Iowa,11,88.0,Texas A&M,3,92.0,Texas A&M,False
VCU,10,81.0,Oklahoma,2,85.0,Oklahoma,False
North Carolina,1,85.0,Providence,9,66.0,North Carolina,True
Indiana,5,73.0,Kentucky,4,67.0,Indiana,True
Notre Dame,6,76.0,Stephen F. Austin,14,75.0,Notre Dame,True
Wisconsin,7,66.0,Xavier,2,63.0,Wisconsin,True
Kansas,1,73.0,UConn,9,61.0,Kansas,True
Maryland,5,73.0,Hawaii,13,60.0,Maryland,True
Wichita State,11,57.0,Miami (FL),3,65.0,Miami (FL),False
Iowa,7,68.0,Villanova,2,87.0,Villanova,False
Virginia,1,77.0,Butler,9,69.0,Virginia,True
Little Rock,12,61.0,Iowa State,4,78.0,Iowa State,False
Gonzaga,11,82.0,Utah,3,59.0,Gonzaga,True
Syracuse,10,75.0,Middle Tennessee,15,50.0,Syracuse,True
Oregon,1,82.0,Duke,4,68.0,Oregon,True
Texas A&M,3,63.0,Oklahoma,2,77.0,Oklahoma,False
North Carolina,1,101.0,Indiana,5,86.0,North Carolina,True
Notre Dame,6,61.0,Wisconsin,7,56.0,Notre Dame,True
Kansas,1,79.0,Maryland,5,63.0,Kansas,True
Miami (FL),3,69.0,Villanova,2,92.0,Villanova,False
Virginia,1,84.0,Iowa State,4,71.0,Virginia,True
Gonzaga,11,60.0,Syracuse,10,63.0,Syracuse,False
Oregon,1,68.0,Oklahoma,2,80.0,Oklahoma,False
North Carolina,1,88.0,Notre Dame,6,74.0,North Carolina,True
Kansas,1,59.0,Villanova,2,64.0,Villanova,False
Virginia,1,62.0,Syracuse,10,68.0,Syracuse,False
Villanova,2,95.0,Oklahoma,2,51.0,Villanova,True
North Carolina,1,83.0,Syracuse,10,66.0,North Carolina,True
Villanova,2,77.0,North Carolina,1,74.0,Villanova,True
Gonzaga,1,66.0,South Dakota State,16,46.0,Gonzaga,True
Northwestern,8,68.0,Vanderbilt,9,66.0,Northwestern,True
Notre Dame,5,60.0,Princeton,12,58.0,Notre Dame,True
West Virginia,4,86.0,Bucknell,13,80.0,West Virginia,True
Maryland,6,65.0,Xavier,11,76.0,Xavier,False
Florida State,3,86.0,Florida Gulf Coast,14,80.0,Florida State,True
Saint Mary's,7,85.0,VCU,10,77.0,Saint Mary's,True
Arizona,2,100.0,North Dakota,15,82.0,Arizona,True
Villanova,1,76.0,Mount St. Mary's,16,56.0,Villanova,True
Wisconsin,8,84.0,Virginia Tech,9,74.0,Wisconsin,True
Virginia,5,76.0,UNC Wilmington,12,71.0,Virginia,True
Florida,4,80.0,East Tennessee State,13,65.0,Florida,True
SMU,6,65.0,USC,11,66.0,USC,False
Baylor,3,91.0,New Mexico State,14,73.0,Baylor,True
South Carolina,7,93.0,Marquette,10,73.0,South Carolina,True
Duke,2,87.0,Troy,15,65.0,Duke,True
North Carolina,1,103.0,Texas Southern,16,64.0,North Carolina,True
Arkansas,8,77.0,Seton Hall,9,71.0,Arkansas,True
Minnesota,5,72.0,Middle Tennessee,12,81.0,Middle Tennessee,False
Butler,4,76.0,Winthrop,13,64.0,Butler,True
Cincinnati,6,75.0,Kansas State,11,61.0,Cincinnati,True
UCLA,3,97.0,Kent State,14,80.0,UCLA,True
Dayton,7,58.0,Wichita State,10,64.0,Wichita State,False
Kentucky,2,79.0,Northern Kentucky,15,70.0,Kentucky,True
Kansas,1,100.0,UC Davis,16,62.0,Kansas,True
Miami (FL),8,58.0,Michigan State,9,78.0,Michigan State,False
Iowa State,5,84.0,Nevada,12,73.0,Iowa State,True
Purdue,4,80.0,Vermont,13,70.0,Purdue,True
Creighton,6,72.0,Rhode Island,11,84.0,Rhode Island,False
Oregon,3,93.0,Iona,14,77.0,Oregon,True
Michigan,7,92.0,Oklahoma State,10,91.0,Michigan,True
Louisville,2,78.0,Jacksonville State,15,63.0,Louisville,True
Gonzaga,1,79.0,Northwestern,8,73.0,Gonzaga,True
Notre Dame,5,71.0,West Virginia,4,83.0,West Virginia,False
Xavier,11,91.0,Florida State,3,66.0,Xavier,True
Saint Mary's,7,60.0,Arizona,2,69.0,Arizona,False
