Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
53,Providence,11,BE,33,20-13,10-8,20,13,10,8,-0.2728,,,+14.4,+3.0,+58.5,+48.1884,-52.1559,-2.4,-75.2,+38.4,-79.2,+27.6,-135.8,+269.7,-42.5,+204.6,-242.7,+133.4,-117.9,+186.9,-41.4,-8.5,-12.0,+258.9,-129.6,+19.1,-148.5,+138.9,-39.5,+124.2,-40.8,-16.9,-148.2,+157.7,-66.2,+77.3,-194.3,+189.4,-47.97
13,Purdue,4,B10,32,25-7,14-4,25,7,14,4,-0.2812,,,+87.9,-14.3,+71.4,+17.0666,-12.0771,-31.7,+34.4,+95.3,+16.5,+84.6,-140.2,+124.0,-251.7,+206.1,-86.5,+243.5,+13.8,+106.7,-181.2,+224.3,+24.5,+16.5,+3.9,+52.2,+7.3,+242.4,+27.6,+180.7,-22.3,-27.0,-101.0,+196.8,-24.3,+103.5,-44.4,+150.4,-18.57
40,Rhode Island,11,A10,33,24-9,13-5,24,9,13,5,+0.2727,,,+54.7,-57.9,+55.4,+18.1523,-39.0449,-36.7,-119.2,+21.3,+34.9,-1.6,-30.2,+161.5,-96.7,+169.9,-26.6,+72.7,-147.1,+139.4,-33.3,+99.6,-299.2,+102.5,-61.4,-10.3,+7.2,-1.0,-182.7,+152.0,+25.5,+11.0,-245.8,+195.2,+11.2,-35.8,-194.5,+285.52,-48.4
14,Saint Mary's,7,WCC,32,28-4,16-2,28,4,16,2,-0.2083,,,+104.2,-68.2,+65.1,+36.0683,-13.0604,-36.9,+55.3,-33.2,+29.5,+11.7,-65.7,+144.6,-316.3,+227.6,-26.6,+180.6,+22.6,+37.4,-326.2,+304.5,+15.9,-8.5,+44.0,+50.9,+10.5,-14.9,+32.4,-17.3,+23.3,+75.4,-10.7,+59.8,+17.1,-56.8,-288.3,+320.0,-24.72
54,Seton Hall,9,BE,32,21-11,10-8,21,11,10,8,+0.0105,,,+34.2,-41.8,+44.0,+11.1918,-53.0524,-32.2,-134.0,+99.0,-54.9,+94.6,-215.6,+254.4,-211.3,+189.7,+13.5,+0.6,-6.7,+33.1,-73.1,+195.9,-164.2,+103.0,-93.9,+147.0,-75.4,+56.3,-189.7,+46.0,-80.7,+117.1,-266.7,+254.7,-58.2,+224.2,-149.1,+278.4,-31.8
31,South Carolina,7,SEC,31,21-10,12-6,21,10,12,6,-0.6774,,,-39.8,+135.7,+95.5,+94.1178,-30.4806,+105.3,-273.0,+260.0,+40.0,+184.0,-194.5,+75.5,+18.2,-0.8,-19.6,+217.4,-241.7,+228.1,-21.4,+32.3,-286.5,+253.0,-273.6,+234.7,+12.8,+106.6,-213.3,+253.4,+35.6,+244.3,-199.4,+46.1,-53.3,-0.6,-105.7,+201.3,-40.0
200,South Dakota State,16,Sum,32,16-16,8-8,16,16,8,8,+0.5,,,+30.2,+6.3,-209.1,+170.5793,-199.3853,+64.2,+6.7,+63.0,-264.7,+149.7,-129.6,+226.7,-290.3,+233.6,-197.3,+2.2,-132.0,+38.4,-7.5,+63.9,+6.2,+47.6,+21.5,-22.4,-240.6,+116.9,-87.8,+219.7,-255.8,+149.0,+26.6,+96.1,-315.1,+2.4,-154.7,+179.7,-199.57
11,Southern Methodist,6,Amer,34,30-4,17-1,30,4,17,1,+0.1176,,,+123.4,-92.7,+73.4,+91.0611,-10.0229,-53.7,+35.1,-44.7,+23.1,+7.0,-50.7,+71.7,-168.1,+180.5,+19.1,+161.7,-19.7,+231.5,-97.5,+10.5,+25.0,+75.8,-30.0,-37.5,+29.7,+1.4,+43.5,-25.2,-9.9,+25.7,-138.4,+72.7,-298.0,+245.0,-264.4,+224.5,-9.4
222,Texas Southern,16,SWAC,34,23-11,16-2,23,11,16,2,+0.3235,,,-111.2,+138.3,-122.9,+185.6335,-221.6955,+182.8,-213.8,+52.1,-53.5,+4.4,-30.1,+165.7,-110.3,+85.7,-45.5,+144.6,-298.6,+261.1,+43.1,-2.2,-69.7,+14.9,-86.4,+53.0,-116.4,+9.3,-303.4,+97.6,-19.0,+13.9,-201.1,+221.5,+16.6,-58.9,-79.0,+113.3,-96.89
142,Troy,15,SB,34,20-14,10-8,20,14,10,8,+0.4118,,,+36.9,-28.0,-140.2,+111.4531,-141.2283,+24.2,-54.4,+43.1,-97.6,+23.4,-85.8,+15.3,-201.2,+83.4,-97.1,+248.4,-160.2,+177.4,+4.3,-16.6,-78.3,+40.2,-52.5,+16.5,-128.5,+51.5,-114.9,+129.3,-67.7,+9.7,-36.3,+77.5,-247.6,+120.6,-120.8,+216.9,-168.2
