Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
62,New Mexico State,13,WAC,5,4-1,4,1,0.8,108.0,105,95.3,74,0.8068,62,49.2,151,46.4,94,20.1,209,18.6,147,44.8,4,27.3,80,41.5,85,30.6,95,48.7,138,48.3,165,33.8,157,27.9,63,25.6,279,29.6,107,68.3,59,0.13,61
63,San Diego State,6,MWC,5,4-1,4,1,0.8,108.6,96,95.9,82,0.8065,63,52.7,76,47.9,135,17.6,125,15.0,262,28.4,205,24.0,34,39.1,115,39.6,208,50.3,105,44.4,76,38.8,82,36.0,185,31.0,201,35.7,222,65.9,122,0.9,17
64,Virginia,10,ACC,3,1-2,1,2,0.3333,106.8,121,94.5,59,0.8037,64,48.3,171,54.1,252,19.0,176,20.5,94,25.3,253,27.4,83,49.3,33,36.3,165,48.3,154,50.5,207,32.4,181,41.7,261,22.7,306,30.6,120,62.5,242,-0.5,134
66,Temple,5,A10,3,2-1,2,1,0.6667,111.9,63,99.3,120,0.7979,66,50.5,118,52.9,235,20.9,234,20.4,97,34.9,97,27.1,76,37.8,127,20.2,7,48.5,144,46.8,126,37.3,105,46.9,301,27.6,252,26.1,41,66.1,117,-0.17,90
70,Saint Mary's,7,WCC,2,2-0,2,0,1.0,121.1,13,107.7,237,0.7942,70,57.2,20,52.9,235,16.5,95,11.2,316,34.9,97,24.2,38,41.4,88,23.0,20,56.5,29,56.3,289,38.8,82,31.0,115,44.1,20,34.4,193,61.7,258,0.8,22
71,Colorado,11,P12,6,4-2,4,2,0.6667,104.1,153,92.7,43,0.7916,71,49.4,148,49.4,165,16.4,92,20.1,112,26.6,233,32.6,175,39.8,105,36.6,172,51.1,88,50.0,195,29.5,234,32.0,123,25.2,283,32.5,158,63.1,226,0.7,27
72,Texas,11,B12,4,2-2,2,2,0.5,107.1,118,95.5,76,0.7897,72,43.6,271,52.0,221,16.0,80,19.4,135,37.3,61,32.8,179,30.9,217,28.8,72,46.1,198,49.7,194,24.6,289,39.0,242,27.7,249,26.1,41,66.3,115,0.47,36
75,Murray State,6,OVC,2,2-0,2,0,1.0,98.6,212,88.4,13,0.7786,75,51.5,102,46.6,98,18.5,156,28.5,3,25.0,259,32.8,179,44.4,59,23.3,23,57.1,21,49.3,185,27.8,250,26.7,44,36.4,99,29.1,91,63.5,208,0.29,50
77,Davidson,13,SC,3,3-0,3,0,1.0,113.8,51,102.4,163,0.7711,77,55.0,41,44.5,52,14.1,32,15.5,249,31.7,153,30.9,147,29.1,239,39.9,215,59.7,8,41.2,32,31.4,204,36.2,191,37.0,88,25.7,39,64.8,154,0.32,46
82,Ohio,13,MAC,5,4-1,4,1,0.8,106.0,132,96.1,84,0.7541,82,48.2,174,49.4,165,20.7,229,25.1,15,37.4,60,34.6,216,33.1,189,41.2,224,46.8,179,48.3,165,33.6,159,34.0,147,38.5,65,38.7,265,63.6,201,0.48,35
83,Belmont,14,ASun,3,3-0,3,0,1.0,110.3,82,100.4,136,0.7467,83,52.5,83,46.6,98,15.5,64,15.0,262,32.0,147,23.4,28,50.0,31,23.7,28,47.9,163,47.5,145,39.4,62,29.8,88,40.7,48,32.2,151,66.1,117,0.49,34
86,Harvard,12,Ivy,2,2-0,2,0,1.0,117.2,30,107.1,230,0.738,86,62.6,3,51.4,215,21.6,247,14.4,280,23.9,275,25.0,47,40.7,97,25.5,41,57.7,17,47.4,141,46.2,13,40.6,253,42.9,27,29.1,91,59.0,309,0.46,37
88,Xavier,10,A10,4,3-1,3,1,0.75,108.5,98,99.2,117,0.7364,88,47.4,193,45.2,65,12.9,18,17.6,192,26.0,244,31.3,154,46.0,49,36.5,171,49.7,118,47.4,141,26.9,260,27.9,63,24.6,292,39.3,273,65.0,146,0.8,25
89,Vermont,16,AE,4,4-0,4,0,1.0,98.4,215,90.3,25,0.7282,89,49.0,157,38.5,4,17.7,127,16.5,225,25.0,259,28.1,98,36.0,153,22.5,18,48.1,158,39.7,21,33.8,157,24.0,20,35.5,123,32.5,158,59.0,309,0.43,40
90,Iona,14,MAAC,3,1-2,1,2,0.3333,111.5,67,102.4,164,0.7268,90,54.4,51,55.4,269,17.9,135,22.0,53,23.8,276,27.7,91,30.9,217,29.1,76,58.0,16,55.6,276,30.0,223,36.7,201,27.6,252,28.0,69,71.3,23,-0.6,156
93,Long Island,16,NEC,3,3-0,3,0,1.0,115.1,39,106.1,217,0.72,93,54.5,47,47.4,122,15.9,73,17.3,203,33.7,118,38.5,279,52.7,19,23.5,27,57.5,18,47.9,156,32.8,175,30.8,108,36.5,98,26.5,47,69.5,41,0.33,44
