Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
64,Southern Miss,9,CUSA,31,23-8,11-5,23,8,0.7419,11,5,0.6875,110.2,42,98.7,120,0.7821,64,46.3,276,50.4,230,16.4,10,21.3,115,36.6,26,28.5,46,40.2,72,39.6,242,43.3,313,48.8,209,35.5,112,36.1,255,30.0,237,30.2,78,64.7,244,1.3,40
65,Ohio,13,MAC,33,26-7,11-5,26,7,0.7879,11,5,0.6875,104.2,118,93.4,35,0.7795,65,49.0,170,47.2,93,19.6,135,26.5,2,35.1,61,33.6,234,36.6,167,43.5,302,48.4,147,48.2,188,33.3,213,30.3,17,38.1,62,35.5,261,67.3,112,0.45,50
66,Iona,14,MAAC,33,25-8,15-3,25,8,0.7576,15,3,0.8333,113.2,18,101.6,184,0.7761,66,56.5,4,51.1,252,17.4,25,22.2,66,32.1,172,32.3,182,30.3,310,28.8,28,55.7,2,50.1,257,38.7,22,35.4,213,32.3,183,34.1,217,71.1,16,0.19,56
68,San Diego St.,6,MWC,31,24-7,10-4,24,7,0.7742,10,4,0.7143,104.9,103,94.2,43,0.774,68,50.3,123,46.6,62,18.9,92,18.7,248,31.3,210,27.2,22,36.2,178,28.5,25,50.2,81,44.4,47,33.7,195,33.7,140,29.7,241,36.1,280,66.6,142,2.9,25
72,South Dakota St.,14,Sum,32,25-7,15-3,25,7,0.7812,15,3,0.8333,111.7,26,100.7,162,0.767,72,53.8,17,49.9,210,15.6,4,19.2,219,30.5,230,28.2,39,39.9,76,29.5,34,50.7,64,50.5,270,39.3,15,32.4,83,37.1,76,31.5,119,66.3,160,-0.41,65
74,Colorado,11,P12,32,21-11,11-7,21,11,0.6562,11,7,0.6111,104.2,120,94.2,42,0.7615,74,49.3,160,47.0,82,19.2,117,18.7,248,29.3,263,28.5,46,43.0,28,32.5,83,48.5,142,45.8,87,34.1,173,32.9,100,31.6,194,34.5,230,65.9,186,-0.28,62
84,New Mexico St.,13,WAC,33,24-9,10-4,24,9,0.7273,10,4,0.7143,106.1,86,97.4,98,0.7267,84,50.7,103,47.8,121,20.7,201,20.4,156,40.7,6,29.7,73,52.8,1,33.2,99,51.3,45,47.7,166,32.8,237,32.0,69,24.6,333,31.6,121,71.1,16,-1.9,85
85,Colorado St.,11,MWC,31,20-11,8-6,20,11,0.6452,8,6,0.5714,111.8,25,102.8,207,0.7245,85,53.5,23,50.5,233,19.1,105,18.5,260,28.4,276,29.5,67,43.0,28,39.2,237,50.4,78,48.7,207,40.5,7,35.7,236,29.2,257,38.4,317,64.7,244,-0.9,71
93,Lehigh,15,Pat,32,25-7,11-3,25,7,0.7812,11,3,0.7857,106.7,75,98.8,126,0.7085,93,50.9,92,47.1,85,16.8,18,21.4,107,31.4,205,29.2,59,37.4,146,33.3,105,49.7,99,45.7,83,35.5,112,33.3,123,36.1,100,32.2,147,68.7,56,-1.1,74
103,Montana,13,BSky,29,23-6,15-1,23,6,0.7931,15,1,0.9375,100.8,174,94.6,48,0.6756,103,52.9,37,44.9,23,18.6,73,22.2,66,27.8,289,31.4,137,39.8,77,39.0,233,50.8,58,43.3,25,38.3,28,32.4,83,31.6,194,29.1,54,65.7,191,-1.5,79
127,Detroit Mercy,15,Horz,33,20-13,11-7,20,13,0.6061,11,7,0.6111,106.4,78,102.6,204,0.6019,127,48.5,187,50.9,244,19.1,105,22.4,60,35.3,59,33.0,211,44.0,17,38.7,227,50.1,87,48.5,199,29.6,326,37.0,293,27.5,294,34.6,237,67.9,86,-5.1,136
128,Lamar,16,Slnd,33,21-12,11-5,21,12,0.6364,11,5,0.6875,104.2,119,100.6,159,0.5994,128,46.2,281,46.9,78,17.5,31,20.1,166,37.6,20,30.5,96,41.0,56,34.2,124,45.3,268,45.4,76,33.1,227,34.1,155,21.7,344,25.8,10,67.3,112,-4.2,119
130,Loyola MD,15,MAAC,32,24-8,13-5,24,8,0.75,13,5,0.7222,102.3,149,99.0,128,0.5937,130,47.4,238,47.7,113,20.7,201,21.8,83,39.0,13,33.0,211,43.0,28,39.8,247,46.0,232,45.3,70,34.0,175,36.1,255,27.3,297,27.1,19,64.5,253,-1.4,76
132,Vermont,16,AE,35,24-11,13-3,24,11,0.6857,13,3,0.8125,103.1,136,99.9,147,0.5889,132,49.5,151,45.5,34,19.1,105,19.8,182,34.0,106,30.4,94,38.1,125,33.2,99,48.5,142,44.5,51,34.6,149,31.8,57,29.3,256,31.3,114,63.3,294,-5.4,139
139,UNC Asheville,16,BSth,30,21-9,16-2,21,9,0.7,16,2,0.8889,107.2,67,104.4,246,0.5747,139,52.7,43,51.4,260,19.1,105,22.4,60,32.9,154,35.0,282,48.5,3,36.1,173,52.9,19,50.4,267,34.8,140,35.4,213,33.5,152,34.5,230,69.6,35,-3.2,102
161,LIU,16,NEC,33,25-8,16-2,25,8,0.7576,16,2,0.8889,107.0,72,105.8,271,0.5316,161,53.3,28,49.1,178,21.5,249,18.4,265,34.8,72,34.0,245,49.8,2,22.3,2,52.3,25,49.0,211,36.8,67,32.8,96,31.2,206,28.0,33,74.3,2,-2.4,91
190,Norfolk St.,15,MEAC,32,24-8,13-3,24,8,0.75,13,3,0.8125,97.8,231,99.9,146,0.4394,190,49.7,143,45.4,33,21.4,246,19.7,190,33.6,128,33.0,211,43.7,20,37.2,194,50.9,53,45.3,70,31.4,282,30.5,22,31.4,199,32.0,135,68.0,84,-2.7,94
204,Western Kentucky,16,SB,34,16-18,7-9,16,18,0.4706,7,9,0.4375,95.7,274,99.0,133,0.404,204,44.4,321,47.1,85,22.4,290,21.3,115,34.4,88,32.4,187,40.7,66,38.7,227,43.8,306,46.5,110,30.3,313,32.6,91,33.0,166,26.0,13,68.8,51,-10.2,218
270,Mississippi Valley St.,16,SWAC,34,21-13,17-1,21,13,0.6176,17,1,0.9444,95.1,286,104.1,233,0.2618,270,46.3,276,49.6,200,20.6,190,23.5,27,33.3,142,32.3,182,35.0,205,42.1,283,44.9,282,45.8,87,32.4,251,38.1,323,38.4,59,33.0,177,70.1,27,-4.8,127
