Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
24,Memphis,9,Amer,31,21-10,13-5,21,10,0.6774,13,5,0.7222,110.4,36,93.2,29,0.8754,24,52.6,64,46.5,34,22.9,352,20.9,41,37.5,5,31.0,290,38.4,16,32.9,251,52.0,87,45.3,22,35.9,55,32.1,86,30.8,325,42.8,321,71.5,31,1.4,45
25,Alabama,6,SEC,32,19-13,9-9,19,13,0.5938,9,9,0.5,115.9,13,98.1,98,0.8718,25,51.5,105,49.4,144,19.8,270,17.7,218,35.5,11,30.7,280,33.6,77,35.2,291,56.3,8,49.3,159,30.8,305,33.1,147,48.0,12,35.9,117,72.8,12,2.0,34
27,Michigan,11,B10,31,17-14,11-9,17,14,0.5484,11,9,0.55,113.9,19,96.7,73,0.868,27,52.3,75,50.3,188,17.1,86,15.0,334,31.2,76,23.8,33,28.9,220,26.6,83,53.0,58,50.8,219,34.0,155,33.0,138,32.3,300,33.9,59,67.2,226,0.15,56
28,North Carolina,8,ACC,33,24-9,15-5,24,9,0.7273,15,5,0.75,112.8,22,95.9,57,0.8663,28,52.1,80,49.8,170,16.5,54,14.1,346,30.4,103,20.8,2,29.6,198,21.5,10,50.7,132,48.3,121,36.2,50,34.9,251,37.4,184,36.9,152,71.2,39,4.3,19
29,Wisconsin,3,B10,31,24-7,15-5,24,7,0.7742,15,5,0.75,110.1,39,93.8,32,0.8638,29,48.2,260,49.4,144,12.7,2,16.9,266,25.8,254,24.0,38,32.3,112,27.7,102,48.9,210,49.9,176,31.3,285,32.3,97,36.0,218,33.7,54,67.5,208,6.4,12
30,San Diego St.,8,MWC,31,23-8,13-4,23,8,0.7419,13,4,0.7647,101.4,188,86.4,2,0.8635,30,48.8,231,44.0,4,19.3,237,21.7,28,29.6,125,27.0,119,31.3,139,30.6,189,46.6,298,43.1,6,35.8,59,30.4,34,30.8,325,38.2,201,66.2,278,2.6,30
32,Ohio St.,7,B10,30,19-11,12-8,19,11,0.6333,12,8,0.6,116.3,11,99.5,130,0.8577,32,54.8,20,47.9,78,16.7,61,15.3,328,28.8,153,28.6,206,33.5,81,29.2,153,54.0,37,46.2,40,37.3,23,34.0,202,39.7,126,35.3,95,66.2,278,1.3,46
33,Boise St.,8,MWC,33,26-7,15-3,26,7,0.7879,15,3,0.8333,106.9,83,91.9,17,0.8506,33,51.1,119,48.2,91,18.5,183,20.1,79,30.6,94,21.9,4,35.2,54,25.8,62,51.1,121,48.0,107,34.1,145,32.4,105,38.6,151,33.2,42,65.7,308,3.5,24
35,Iowa St.,11,B12,32,20-12,7-11,20,12,0.625,7,11,0.3889,103.1,154,88.7,8,0.8497,35,49.9,178,48.4,105,20.4,298,24.5,6,28.2,166,28.5,200,28.1,249,36.2,306,50.9,128,50.7,217,32.1,252,29.6,18,37.4,184,37.5,176,67.3,218,2.8,29
36,Michigan St.,7,B10,34,22-12,11-9,22,12,0.6471,11,9,0.55,110.9,32,95.5,52,0.8484,36,52.0,84,47.5,63,19.2,228,15.3,328,30.7,89,27.0,119,30.4,167,28.3,120,49.7,179,47.9,103,37.8,16,31.2,49,33.4,280,37.8,184,68.7,135,2.9,28
37,Loyola Chicago,10,MVC,31,24-7,13-5,24,7,0.7742,13,5,0.7222,109.1,56,93.9,34,0.8483,37,56.3,7,47.0,48,18.4,176,19.9,84,25.1,278,23.9,37,31.9,125,28.4,124,55.8,14,46.9,59,38.0,12,31.5,63,43.1,54,38.1,195,65.6,311,1.8,39
38,TCU,9,B12,32,20-12,8-10,20,12,0.625,8,10,0.4444,107.4,77,92.9,25,0.8415,38,48.9,228,47.7,70,21.6,337,18.4,165,37.8,2,26.1,84,31.2,142,26.7,85,50.5,141,47.9,103,30.3,319,31.5,63,32.0,303,34.6,81,66.9,244,2.9,27
39,Murray St.,7,OVC,29,27-2,18-0,27,2,0.931,18,0,1.0,109.6,45,95.0,46,0.8382,39,52.9,52,48.0,83,17.1,86,21.0,38,35.5,11,25.4,66,31.1,144,24.6,42,53.5,46,50.0,180,34.7,105,30.1,25,37.7,174,40.6,270,67.0,240,3.5,23
41,Providence,4,BE,30,25-5,14-3,25,5,0.8333,14,3,0.8235,111.6,28,96.9,76,0.8344,41,50.3,155,46.7,39,17.3,101,15.8,309,30.5,98,28.0,172,38.5,12,26.3,76,49.6,184,46.6,50,34.3,131,31.2,49,38.1,166,36.1,123,66.5,261,5.9,14
42,Notre Dame,11,ACC,32,22-10,15-5,22,10,0.6875,15,5,0.75,112.3,26,97.6,88,0.8334,42,54.1,27,49.4,144,15.2,23,15.0,334,22.1,335,24.4,45,27.4,266,22.4,17,52.4,72,50.1,191,37.6,18,32.1,86,42.4,72,35.4,100,66.4,265,1.8,37
45,Seton Hall,8,BE,30,20-10,11-8,20,10,0.6667,11,8,0.5789,106.8,85,93.3,31,0.8254,45,47.6,280,45.4,17,17.5,115,18.5,157,32.7,46,29.1,223,30.8,155,27.8,104,46.2,311,44.8,17,33.3,194,31.0,41,35.6,233,34.3,71,68.6,141,1.9,36
49,Davidson,10,A10,32,26-6,15-3,26,6,0.8125,15,3,0.8333,115.7,14,101.4,161,0.819,49,55.6,13,49.4,144,14.8,14,16.9,266,23.6,306,22.2,7,32.9,97,28.0,109,54.2,34,48.4,125,38.4,5,33.8,189,41.1,101,43.8,333,65.7,308,2.1,33
51,Colorado St.,6,MWC,29,24-5,14-4,24,5,0.8276,14,4,0.7778,112.5,25,98.7,113,0.8178,51,55.2,18,49.9,173,15.1,21,18.4,165,21.9,337,24.9,56,30.4,167,25.0,50,56.3,8,50.5,208,35.7,65,32.7,123,39.0,144,44.3,337,66.4,265,4.3,18
52,USC,7,P12,33,26-7,14-6,26,7,0.7879,14,6,0.7,109.3,54,96.0,60,0.816,52,51.1,119,44.7,10,17.7,121,14.7,338,33.8,21,27.2,127,30.9,153,26.3,76,50.1,159,41.6,1,35.4,74,33.7,179,32.0,303,34.5,76,67.1,236,4.1,21
54,Miami FL,10,ACC,33,23-10,14-6,23,10,0.697,14,6,0.7,114.3,18,100.6,141,0.8133,54,54.2,24,53.4,316,14.2,8,20.3,71,23.4,309,30.3,267,28.9,220,24.6,42,54.9,25,53.9,323,35.3,77,35.2,265,35.9,222,39.4,236,68.5,150,2.6,31
57,UAB,12,CUSA,32,25-7,14-4,25,7,0.7812,14,4,0.7778,111.1,31,98.1,97,0.8077,57,52.9,52,47.9,78,16.3,46,21.4,33,33.4,32,27.4,143,29.5,206,31.5,212,50.6,133,47.5,83,38.3,7,32.4,105,32.7,292,37.1,164,69.9,80,-0.11,57
59,Marquette,9,BE,31,19-12,11-8,19,12,0.6129,11,8,0.5789,107.9,69,95.4,50,0.8057,59,52.6,64,46.7,39,17.3,101,19.1,128,22.4,326,31.4,304,26.8,276,29.7,166,52.9,60,46.2,40,34.7,105,31.7,70,41.7,92,35.6,106,72.2,19,0.5,51
62,Creighton,9,BE,33,22-11,12-7,22,11,0.6667,12,7,0.6316,104.2,133,92.3,20,0.8015,62,50.9,129,44.9,13,20.5,304,15.5,325,28.6,157,28.4,192,26.0,295,20.3,4,53.9,39,43.5,7,30.7,308,31.7,70,38.2,159,33.6,50,67.9,192,1.7,41
71,Vermont,13,AE,32,27-5,17-1,27,5,0.8438,17,1,0.9444,108.6,59,97.4,83,0.7771,71,57.3,3,47.7,70,14.9,16,17.1,253,24.0,297,18.6,1,26.6,281,22.6,18,58.9,3,45.2,20,36.8,34,34.4,226,43.1,54,37.6,182,65.9,297,-0.8,64
72,Wyoming,12,MWC,33,24-9,13-5,24,9,0.7273,13,5,0.7222,108.4,63,97.4,82,0.7739,72,52.3,75,47.1,51,17.1,86,15.7,315,25.5,265,24.6,49,37.1,35,24.8,46,54.4,32,48.4,125,33.0,213,30.1,25,41.8,88,38.2,201,66.7,254,1.9,35
75,South Dakota St.,13,Sum,32,28-4,18-0,28,4,0.875,18,0,1.0,115.0,16,104.0,226,0.7612,75,59.7,1,51.5,244,15.3,25,15.8,309,24.0,297,24.2,44,35.2,54,21.3,8,56.3,8,50.6,213,44.2,1,35.2,265,34.3,257,41.4,288,70.7,51,1.5,43
77,Chattanooga,13,SC,32,25-7,14-4,25,7,0.7812,14,4,0.7778,108.4,64,98.5,109,0.7501,77,52.8,58,49.6,156,17.0,77,18.0,194,32.7,46,26.3,98,27.0,272,27.3,96,53.9,39,52.1,269,34.1,145,30.6,36,39.3,132,40.4,266,65.6,311,0.2,55
82,Rutgers,11,B10,32,18-14,12-8,18,14,0.5625,12,8,0.6,105.2,109,96.0,61,0.741,82,49.9,178,48.6,111,17.3,101,17.8,210,29.6,125,27.0,119,26.2,291,28.6,133,49.4,193,47.1,66,33.9,165,33.9,195,31.6,308,39.7,244,66.0,289,-0.7,63
85,New Mexico St.,12,WAC,29,23-6,13-4,23,6,0.7931,13,4,0.7647,106.0,98,97.5,84,0.7254,85,52.2,79,45.5,19,20.7,312,16.9,266,33.3,35,26.2,94,35.4,53,27.8,104,54.1,36,45.8,32,33.0,213,30.0,22,41.1,101,42.6,316,67.3,218,0.7,50
90,Richmond,12,A10,35,23-12,10-8,23,12,0.6571,10,8,0.5556,107.7,74,99.4,128,0.7153,90,51.5,105,50.5,197,14.4,9,18.9,140,22.4,326,27.2,127,30.9,153,23.5,29,52.2,78,50.0,180,33.8,172,34.3,220,42.0,83,35.7,111,67.8,196,-1.6,74
127,Saint Peter's,15,MAAC,29,18-11,14-6,18,11,0.6207,14,6,0.7,97.6,262,94.1,36,0.6043,127,47.8,271,44.1,5,20.8,317,20.9,41,31.5,69,28.0,172,37.5,29,41.0,347,45.9,316,44.0,11,34.8,100,29.4,16,30.3,334,36.3,127,66.8,249,-5.6,137
132,Delaware,15,CAA,33,21-12,10-8,21,12,0.6364,10,8,0.5556,106.8,84,103.2,209,0.5977,132,53.5,36,49.3,137,18.4,176,18.5,157,26.8,219,31.2,301,34.6,62,29.3,157,54.2,34,47.5,83,35.0,90,34.9,251,38.2,159,35.6,106,67.6,203,-5.5,136
137,Colgate,14,Pat,33,22-11,16-2,22,11,0.6667,16,2,0.8889,106.4,94,103.6,217,0.5776,137,55.9,10,49.0,125,16.9,70,16.2,298,26.5,231,24.8,52,26.8,276,24.3,40,52.7,64,48.2,116,40.2,2,33.7,179,42.0,83,35.9,117,68.2,172,-6.1,146
140,Jacksonville St.,15,ASun,29,19-10,13-3,19,10,0.6552,13,3,0.8125,104.0,136,101.7,169,0.5652,140,54.2,24,48.0,83,20.0,282,17.1,253,28.3,165,26.2,94,32.2,116,21.1,6,51.8,95,47.4,78,38.2,9,32.5,112,42.7,62,44.9,340,66.2,278,-5.2,132
144,Montana St.,14,BSky,32,25-7,16-4,25,7,0.7812,16,4,0.8,103.0,156,100.8,147,0.5607,144,54.1,27,48.6,111,18.5,183,18.3,171,26.7,223,23.3,23,40.5,4,36.2,306,53.2,54,48.2,116,37.2,25,32.8,127,36.0,218,35.9,117,68.0,187,-2.8,89
145,Akron,13,MAC,31,22-9,14-6,22,9,0.7097,14,6,0.7,104.8,118,102.7,193,0.5594,145,52.8,58,49.3,137,17.7,121,17.6,225,29.1,146,26.3,98,40.1,5,26.2,70,52.4,72,47.8,95,35.6,71,34.7,240,41.7,92,35.3,95,63.0,352,-4.3,115
151,Georgia St.,16,SB,25,15-10,9-5,15,10,0.6,9,5,0.6429,100.8,198,99.4,124,0.5415,151,45.1,343,49.7,163,16.9,70,22.7,18,32.8,43,30.7,280,30.2,178,32.8,247,43.1,351,45.4,25,32.3,240,37.9,342,36.9,197,38.1,195,68.2,172,-5.1,131
152,Yale,14,Ivy,29,18-11,11-3,18,11,0.6207,11,3,0.7857,99.8,225,98.4,106,0.5389,152,50.1,170,48.9,121,18.3,168,18.2,183,25.6,262,26.5,109,32.7,102,31.1,204,50.5,141,51.1,231,32.9,220,30.4,34,36.3,208,41.2,282,69.8,87,-4.9,127
154,Longwood,14,BSth,28,21-7,14-2,21,7,0.75,14,2,0.875,104.7,119,103.5,215,0.5348,154,51.1,119,51.3,237,18.6,193,20.5,62,33.1,40,25.6,67,35.7,49,28.4,124,47.6,257,53.9,323,37.9,14,32.0,81,38.0,168,43.7,332,67.3,218,-3.3,96
182,Cal St. Fullerton,15,BW,29,19-10,12-5,19,10,0.6552,12,5,0.7059,102.0,174,103.2,208,0.4662,182,49.2,216,50.8,213,18.1,148,20.2,75,29.0,147,28.0,172,35.7,49,26.1,67,48.7,217,48.0,107,33.5,182,37.1,328,30.0,336,36.4,131,67.1,236,-5.0,129
191,Texas Southern,16,SWAC,31,19-12,13-5,19,12,0.6129,13,5,0.7222,96.8,274,98.5,110,0.4507,191,48.6,241,44.8,12,21.3,328,17.2,242,33.5,30,27.8,163,33.6,77,34.1,270,49.1,203,44.9,18,31.7,273,29.8,20,31.1,322,35.7,111,68.9,121,-6.8,159
192,Bryant,16,NEC,31,21-10,15-2,21,10,0.6774,15,2,0.8824,102.5,165,104.4,235,0.4478,192,49.6,194,47.6,68,19.0,221,16.6,283,32.8,43,31.7,313,32.7,102,25.2,55,52.8,62,47.0,63,30.3,319,32.5,112,43.4,47,33.6,50,73.3,9,-4.8,124
196,Norfolk St.,16,MEAC,27,21-6,12-2,21,6,0.7778,12,2,0.8571,99.9,216,102.0,179,0.4412,196,51.5,105,45.1,15,19.9,273,18.5,157,29.8,120,27.2,127,39.1,9,33.3,257,51.3,113,46.3,43,34.5,118,29.1,13,35.8,226,45.1,342,68.2,172,-3.1,91
199,Wright St.,16,Horz,34,21-13,15-7,21,13,0.6176,15,7,0.6818,104.4,127,106.7,271,0.4389,199,52.1,80,51.1,227,18.0,138,18.3,171,31.5,69,29.9,249,31.7,128,26.2,70,53.1,56,51.8,261,33.3,194,33.1,147,32.5,295,34.1,67,69.7,90,-8.4,193
255,Texas A&M Corpus Chris,16,Slnd,31,19-12,7-7,19,12,0.6129,7,7,0.5,96.3,286,102.8,196,0.3204,255,47.2,289,49.0,125,19.7,265,22.6,19,34.0,19,28.8,210,38.0,24,42.3,349,46.9,283,50.3,202,31.8,269,31.5,63,31.3,317,42.2,307,70.2,68,-7.6,178
