Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjOE__1,BT__Rk_AdjOE__1,BT__AdjDE__1,BT__Rk_AdjDE__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjOE__2,BT__Rk_AdjOE__2,BT__AdjDE__2,BT__Rk_AdjDE__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Colorado,5,96.0,Georgetown,12,73.0,Colorado,True,2021,1,17,P12,22-8,22,8,0.7333333333333333,21.83,114.5,16,92.7,28,66.3,280,-0.033,252,10.99,69,108.0,62,97.0,70,2.1,180,55,BE,13-12,13,12,0.52,14.04,107.8,85,93.7,42,69.6,113,0.001,169,14.51,27,110.4,21,95.9,40,4.59,135,7,P12,30,22-8,14-6,22,8,0.7333,14,6,0.7,115.4,11,91.7,22,0.9332,7,52.0,84,47.7,64,16.8,63,19.8,107,30.9,78,25.6,81,29.9,216,28.0,86,50.3,142,46.5,59,36.7,48,33.3,141,35.8,218,34.8,94,67.2,269,4.9,9,57,BE,25,13-12,7-9,13,12,0.52,7,9,0.4375,107.2,79,93.7,40,0.8241,57,49.6,190,48.0,76,21.7,307,16.2,311,32.4,45,27.3,147,30.3,203,25.9,44,46.1,295,47.4,87,36.6,50,32.6,107,38.8,144,39.7,257,70.6,104,-1.1,66
Florida State,4,64.0,UNC Greensboro,13,54.0,Florida State,True,2021,1,13,ACC,16-6,16,6,0.7272727272727273,22.39,116.7,10,94.3,47,70.5,84,-0.011,207,12.92,42,109.0,44,96.1,45,4.39,140,99,SC,21-8,21,8,0.7241379310344828,8.2,104.2,127,96.0,65,68.5,174,0.005,160,0.86,169,103.3,161,102.5,191,-2.67,252,9,ACC,22,16-6,11-4,16,6,0.7273,11,4,0.7333,117.2,10,93.7,39,0.9296,9,54.4,30,46.5,31,20.2,238,19.6,121,35.7,10,31.4,288,32.7,144,36.3,282,52.1,79,44.2,11,39.0,9,33.3,141,35.5,226,40.0,264,71.2,87,2.4,26,118,SC,29,21-8,13-5,21,8,0.7241,13,5,0.7222,101.6,159,97.4,96,0.6196,118,48.2,253,48.1,86,15.6,17,21.0,58,32.4,45,25.9,91,23.8,332,36.4,284,50.3,142,48.3,116,30.0,312,31.9,75,38.9,139,42.1,307,69.2,173,-3.4,116
BYU,6,62.0,UCLA,11,73.0,UCLA,False,2021,1,24,WCC,20-6,20,6,0.7692307692307693,20.97,113.1,27,92.2,26,68.0,200,0.045,83,10.38,73,108.0,61,97.6,87,8.9,71,43,P12,18-9,18,9,0.6666666666666666,16.29,114.2,18,97.9,95,64.6,334,0.033,101,12.2,54,108.7,51,96.5,57,9.16,67,26,WCC,25,19-6,10-3,19,6,0.76,10,3,0.7692,111.5,30,92.6,29,0.894,26,55.0,20,46.6,33,19.0,175,16.0,318,28.6,147,23.3,21,27.8,269,29.4,123,54.5,26,45.5,30,37.3,33,32.4,94,38.8,144,34.8,94,69.1,180,3.5,17,31,P12,27,18-9,13-6,18,9,0.6667,13,6,0.6842,114.7,15,96.7,82,0.8766,31,52.1,80,50.8,200,16.5,53,17.6,250,31.0,76,24.6,51,32.5,152,28.1,91,50.3,142,49.6,160,37.2,35,35.1,238,31.5,301,38.6,223,65.4,326,2.6,24
Texas,3,52.0,Abilene Christian,14,53.0,Abilene Christian,False,2021,1,26,B12,19-7,19,7,0.7307692307692307,20.6,113.9,22,93.3,35,69.2,138,0.017,139,14.12,33,109.1,43,95.0,23,8.25,82,85,Slnd,23-4,23,4,0.8518518518518519,10.17,103.2,157,93.0,32,69.9,102,-0.027,238,-8.04,330,97.7,318,105.8,329,4.4,138,17,B12,26,19-7,11-6,19,7,0.7308,11,6,0.6471,113.5,20,92.8,30,0.9108,17,52.9,58,46.7,37,20.2,238,17.8,237,31.3,68,26.9,136,34.0,107,36.7,291,52.4,71,45.8,35,35.7,75,32.3,90,41.9,56,33.4,53,70.0,135,4.1,14,89,Slnd,23,19-4,13-2,19,4,0.8261,13,2,0.8667,100.9,176,92.6,28,0.7292,89,52.9,58,45.4,11,19.4,190,26.7,1,30.6,87,27.9,169,34.0,107,42.5,334,50.8,121,46.3,51,37.7,21,29.1,12,36.5,198,34.0,69,70.8,99,-1.1,64
UConn,7,54.0,Maryland,10,63.0,Maryland,False,2021,1,16,BE,15-7,15,7,0.6818181818181818,21.86,113.6,23,91.8,25,66.0,301,-0.066,307,12.63,45,107.9,65,95.3,29,-2.11,248,32,B10,16-13,16,13,0.5517241379310345,18.61,110.9,44,92.3,27,65.3,317,-0.035,253,17.03,12,110.2,22,93.2,4,-0.92,227,14,BE,22,15-7,11-6,15,7,0.6818,11,6,0.6471,113.9,18,92.3,26,0.9186,14,49.5,192,46.2,27,17.5,96,19.6,121,36.8,6,29.8,245,29.6,226,36.9,293,49.0,202,45.6,32,33.6,175,31.6,59,33.3,270,33.0,41,66.6,292,2.0,31,41,B10,28,15-13,9-11,15,13,0.5357,9,11,0.45,110.1,44,94.2,45,0.8572,41,52.6,65,48.5,100,16.8,63,16.9,283,20.9,327,24.8,56,32.6,150,25.6,39,52.8,62,46.4,53,34.9,112,34.3,202,43.0,45,41.8,303,66.3,300,0.06,53
Alabama,2,68.0,Iona,15,55.0,Alabama,True,2021,1,8,SEC,24-6,24,6,0.8,25.08,111.8,34,86.7,2,73.9,9,0.031,108,14.36,29,109.8,29,95.5,32,9.05,69,182,MAAC,12-5,12,5,0.7058823529411765,-1.1,100.4,209,101.5,160,68.3,185,0.038,92,-7.05,318,97.5,321,104.5,281,-0.36,217,11,SEC,30,24-6,16-2,24,6,0.8,16,2,0.8889,110.7,39,88.6,4,0.9281,11,51.3,103,45.3,10,18.6,158,21.1,57,31.5,65,29.8,245,28.6,247,31.9,181,50.1,152,46.4,53,35.1,102,28.8,10,47.1,16,33.6,60,74.8,8,6.9,4,143,MAAC,17,12-5,6-3,12,5,0.7059,6,3,0.6667,100.7,180,98.8,116,0.5571,143,51.2,110,45.6,15,22.5,326,19.6,121,33.5,32,26.2,105,36.1,65,46.3,342,49.9,161,45.8,35,35.5,86,30.1,21,37.6,169,37.9,196,69.3,167,-3.2,113
Baylor,1,79.0,Hartford,16,55.0,Baylor,True,2021,1,4,B12,22-2,22,2,0.9166666666666666,29.56,123.4,3,93.8,44,68.4,180,0.05,67,9.7,78,106.6,89,96.9,64,-4.0,269,192,AE,15-8,15,8,0.6521739130434783,-2.8,97.5,254,100.3,128,66.7,268,0.078,32,-6.24,303,98.3,308,104.5,278,-0.2,214,3,B12,24,22-2,13-1,22,2,0.9167,13,1,0.9286,123.3,3,93.5,37,0.96,3,57.5,3,49.1,127,17.6,101,24.6,3,37.5,4,30.9,277,27.0,286,31.7,175,54.1,32,48.1,110,41.8,1,34.0,179,39.2,129,34.3,76,69.6,152,6.7,5,190,AE,23,15-8,8-6,15,8,0.6522,8,6,0.5714,96.7,260,99.2,125,0.4267,190,50.4,150,47.6,61,19.0,175,20.4,83,24.9,246,28.8,211,28.6,247,25.0,31,51.3,104,50.7,213,32.7,219,28.7,9,42.5,50,40.7,284,67.8,241,-4.9,151
North Carolina,8,62.0,Wisconsin,9,85.0,Wisconsin,False,2021,1,28,ACC,18-10,18,10,0.6428571428571429,20.39,110.3,54,89.9,12,71.8,44,-0.017,218,14.6,25,111.0,14,96.4,52,7.79,87,12,B10,17-12,17,12,0.5862068965517241,22.59,112.6,32,90.0,13,64.9,327,-0.049,283,18.06,9,111.8,8,93.7,9,1.3,194,36,ACC,28,18-10,10-6,18,10,0.6429,10,6,0.625,107.9,67,91.9,24,0.8636,36,48.5,242,48.7,113,20.6,258,19.3,135,41.3,1,26.3,110,34.9,82,27.1,60,48.9,207,46.8,68,31.7,267,34.4,209,28.2,333,38.2,210,72.8,33,2.4,25,15,B10,29,17-12,10-10,17,12,0.5862,10,10,0.5,111.5,33,90.3,13,0.9182,15,49.4,197,47.9,70,13.5,2,17.8,237,23.7,283,25.1,67,26.9,288,28.5,100,46.3,292,47.1,78,36.0,65,33.0,127,40.8,81,34.2,71,65.9,312,2.1,30
Villanova,5,73.0,Winthrop,12,63.0,Villanova,True,2021,1,11,BE,16-6,16,6,0.7272727272727273,22.62,118.7,9,96.1,66,65.0,321,-0.006,195,13.06,41,108.9,45,95.9,41,7.52,91,91,BSth,23-1,23,1,0.9583333333333334,9.01,105.2,120,96.2,67,73.6,11,0.032,105,-6.31,308,99.0,288,105.3,313,4.07,145,20,BE,22,16-6,11-4,16,6,0.7273,11,4,0.7333,118.5,7,97.2,90,0.9076,20,52.8,60,51.8,245,13.5,2,19.0,147,27.9,169,24.8,56,30.0,212,25.8,42,52.8,62,51.0,227,35.2,99,35.4,255,44.6,30,40.6,279,65.9,312,3.1,21,87,BSth,24,23-1,17-1,23,1,0.9583,17,1,0.9444,104.8,113,96.0,71,0.7326,87,53.0,56,49.0,126,19.5,195,22.5,21,35.6,13,22.2,10,35.7,69,33.8,230,53.0,52,49.2,145,35.3,96,32.4,94,39.3,124,36.4,138,74.7,11,1.0,43
Purdue,4,69.0,North Texas,13,78.0,North Texas,False,2021,1,15,B10,18-9,18,9,0.6666666666666666,22.21,113.6,24,91.4,23,66.5,274,0.019,130,17.28,11,111.6,11,94.3,13,5.87,111,74,CUSA,17-9,17,9,0.6538461538461539,11.78,105.5,119,93.7,41,63.1,350,-0.042,272,4.49,127,103.6,155,99.1,115,5.37,122,27,B10,27,18-9,13-6,18,9,0.6667,13,6,0.6842,111.5,31,93.0,33,0.8899,27,51.4,98,48.6,107,18.7,163,16.9,283,32.2,47,24.1,34,32.2,157,30.3,147,52.1,79,49.7,164,33.5,179,31.5,56,37.5,171,45.7,337,67.5,257,3.7,16,82,CUSA,25,16-9,9-5,16,9,0.64,9,5,0.6429,103.7,129,94.0,43,0.7551,82,54.0,38,45.7,20,20.4,249,21.4,53,27.9,169,26.9,136,27.2,281,31.7,175,52.9,57,44.8,15,37.3,33,31.6,59,37.2,178,34.2,71,64.2,339,-2.4,90
Texas Tech,6,65.0,Utah State,11,53.0,Texas Tech,True,2021,1,23,B12,17-10,17,10,0.6296296296296297,21.01,112.5,33,91.5,24,65.3,316,-0.091,333,11.42,59,108.1,59,96.7,62,-5.4,286,41,MWC,20-8,20,8,0.7142857142857143,16.55,105.8,113,89.2,8,68.8,153,-0.032,248,5.23,119,105.0,120,99.7,129,7.53,90,19,B12,27,17-10,9-8,17,10,0.6296,9,8,0.5294,111.5,32,91.4,20,0.9076,19,49.7,185,47.8,69,16.3,42,23.8,8,33.8,28,30.0,253,39.3,19,36.5,286,48.7,217,44.8,15,34.6,126,35.0,235,31.4,303,38.6,223,66.6,292,0.9,44,40,MWC,27,19-8,15-4,19,8,0.7037,15,4,0.7895,104.4,120,89.0,5,0.8611,40,49.8,180,45.6,15,19.7,210,19.7,113,35.3,16,21.3,5,29.4,230,26.1,47,49.6,176,42.9,4,33.6,175,33.0,127,32.5,287,40.2,269,69.9,140,-1.1,67
