Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1,Year,Round
Gonzaga,2,86,7,WCC,32-2,32,2,0.9411764705882352,24.6,118.8,7,94.2,27,65.0,158,0.013,151,2.3,40,104.1,85,101.8,128,,46,North Dakota State,15,76,60,Sum,23-9,23,9,0.71875,1.4,101.1,193,99.7,109,61.1,327,0.117,7,-3.7,58,101.0,241,104.7,282,,283,Gonzaga,True,2015,1
Kentucky,1,79,1,SEC,34-0,34,0,1.0,34.3,120.0,5,85.7,2,63.4,253,0.055,54,6.5,21,105.5,46,99.0,28,,99,Hampton,16,56,64,MEAC,17-17,17,17,0.5,-5.9,95.6,300,101.5,150,69.7,15,0.029,112,-6.8,64,98.0,341,104.8,286,,189,Kentucky,True,2015,1
Kentucky,1,64,1,SEC,34-0,34,0,1.0,34.3,120.0,5,85.7,2,63.4,253,0.055,54,6.5,21,105.5,46,99.0,28,,99,Cincinnati,8,51,38,Amer,22-10,22,10,0.6875,13.0,106.4,82,93.4,20,60.0,341,-0.027,247,2.1,43,102.2,165,100.1,68,,114,Kentucky,True,2015,2
Kentucky,1,78,1,SEC,34-0,34,0,1.0,34.3,120.0,5,85.7,2,63.4,253,0.055,54,6.5,21,105.5,46,99.0,28,,99,West Virginia,5,39,26,B12,23-9,23,9,0.71875,15.8,111.3,33,95.5,46,68.7,26,0.05,63,7.8,12,106.2,23,98.4,16,,257,Kentucky,True,2015,3
Kentucky,1,68,1,SEC,34-0,34,0,1.0,34.3,120.0,5,85.7,2,63.4,253,0.055,54,6.5,21,105.5,46,99.0,28,,99,Notre Dame,3,66,9,ACC,29-5,29,5,0.8529411764705882,22.3,122.1,2,99.8,111,64.2,204,0.064,44,3.6,36,104.3,77,100.7,92,,347,Kentucky,True,2015,4
Kentucky,1,64,1,SEC,34-0,34,0,1.0,34.3,120.0,5,85.7,2,63.4,253,0.055,54,6.5,21,105.5,46,99.0,28,,99,Wisconsin,1,71,2,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37,Wisconsin,False,2015,5
Cincinnati,8,66,38,Amer,22-10,22,10,0.6875,13.0,106.4,82,93.4,20,60.0,341,-0.027,247,2.1,43,102.2,165,100.1,68,,114,Purdue,9,65,45,B10,21-12,21,12,0.6363636363636364,11.2,108.3,58,97.1,68,64.5,183,0.01,160,5.5,30,106.2,27,100.7,91,,272,Cincinnati,True,2015,1
West Virginia,5,68,26,B12,23-9,23,9,0.71875,15.8,111.3,33,95.5,46,68.7,26,0.05,63,7.8,12,106.2,23,98.4,16,,257,Buffalo,12,62,46,MAC,23-9,23,9,0.71875,11.1,109.6,48,98.5,92,69.2,21,0.011,155,2.6,38,104.6,72,102.0,142,,53,West Virginia,True,2015,1
West Virginia,5,69,26,B12,23-9,23,9,0.71875,15.8,111.3,33,95.5,46,68.7,26,0.05,63,7.8,12,106.2,23,98.4,16,,257,Maryland,4,59,32,B10,27-6,27,6,0.8181818181818182,13.7,108.4,57,94.7,37,64.5,186,0.131,2,5.4,31,105.7,41,100.3,77,,238,West Virginia,True,2015,2
Maryland,4,65,32,B10,27-6,27,6,0.8181818181818182,13.7,108.4,57,94.7,37,64.5,186,0.131,2,5.4,31,105.7,41,100.3,77,,238,Valparaiso,13,62,47,Horz,28-5,28,5,0.8484848484848485,9.6,103.9,127,94.3,29,62.7,280,0.07,37,-2.1,52,102.1,177,104.2,260,,282,Maryland,True,2015,1
