Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
48,Marquette,9,BE,19-12,19,12,0.6129032258064516,13.95,109.7,59,95.8,44,70.7,26,-0.0,175,9.18,26,107.3,40,98.2,20,4.31,52
50,Providence,4,BE,25-5,25,5,0.8333333333333334,13.81,111.9,32,98.1,80,65.2,272,0.194,1,6.95,56,106.0,72,99.1,43,-0.17,166
52,Notre Dame,11,ACC,23-10,23,10,0.696969696969697,13.71,112.6,27,98.9,97,65.6,256,0.027,119,6.4,67,106.6,59,100.2,72,3.09,87
53,Creighton,9,BE,22-11,22,11,0.6666666666666666,13.4,105.5,127,92.1,17,66.9,190,0.09,26,8.59,35,107.6,28,99.1,42,-0.15,164
58,Vermont,13,AE,28-5,28,5,0.8484848484848485,13.04,110.7,45,97.7,72,65.0,290,-0.015,208,-7.58,332,99.0,330,106.6,304,2.16,108
59,Miami (FL),10,ACC,23-10,23,10,0.696969696969697,12.73,114.8,17,102.1,155,67.3,161,0.069,49,6.72,60,106.8,55,100.1,69,0.63,146
69,South Dakota State,13,Sum,30-4,30,4,0.8823529411764706,11.41,116.7,11,105.3,223,69.4,59,0.061,56,-3.98,249,103.2,157,107.2,332,4.24,54
70,Chattanooga,13,SC,27-7,27,7,0.7941176470588235,11.32,110.0,55,98.7,93,64.7,303,0.024,128,0.18,143,105.1,89,104.9,244,1.73,120
82,New Mexico State,12,WAC,26-6,26,6,0.8125,10.01,107.8,86,97.8,73,66.2,225,0.099,17,0.6,136,102.2,189,101.6,114,3.96,61
84,Richmond,12,A10,23-12,23,12,0.6571428571428571,9.93,109.1,70,99.2,105,66.9,192,0.029,113,4.46,92,105.1,91,100.6,88,2.7,97
117,Saint Peter's,15,MAAC,19-11,19,11,0.6333333333333333,4.29,98.7,260,94.4,35,66.0,240,-0.016,212,-2.79,212,101.3,227,104.1,206,3.68,73
119,Colgate,14,Pat,23-11,23,11,0.6764705882352942,4.2,108.2,80,104.0,203,67.3,162,-0.07,321,-8.01,339,99.2,326,107.2,333,1.77,118
124,Montana State,14,BSky,27-7,27,7,0.7941176470588235,3.77,104.4,149,100.7,127,67.3,157,0.031,110,-6.27,310,101.9,202,108.1,350,-0.64,182
134,Akron,13,MAC,24-9,24,9,0.7272727272727273,3.22,106.0,118,102.7,169,62.1,351,0.026,120,-5.51,286,100.6,269,106.1,291,-4.21,283
140,Longwood,14,BSth,26-6,26,6,0.8125,2.68,106.2,111,103.5,190,66.1,236,0.095,21,-8.1,342,98.5,342,106.6,305,-6.97,334
144,Jacksonville State,15,ASun,21-10,21,10,0.6774193548387096,2.33,105.3,131,103.0,175,65.1,276,-0.021,225,-5.1,276,100.7,265,105.8,274,0.13,158
145,Delaware,15,CAA,22-12,22,12,0.6470588235294118,2.23,106.8,102,104.6,212,66.6,200,0.023,129,-2.65,206,101.7,208,104.4,224,-3.72,274
146,Yale,14,Ivy,19-11,19,11,0.6333333333333333,2.18,101.3,209,99.1,103,68.7,89,0.061,55,-2.18,199,102.9,164,105.1,251,0.64,144
149,Cal State Fullerton,15,BW,21-10,21,10,0.6774193548387096,1.91,104.6,145,102.6,165,66.0,239,0.038,94,-3.15,224,100.4,282,103.5,178,-3.23,262
150,Georgia State,16,SB,18-10,18,10,0.6428571428571429,1.66,101.5,202,99.8,114,67.1,178,0.062,54,-1.51,184,100.9,252,102.4,129,2.08,110
168,Norfolk State,16,MEAC,24-6,24,6,0.8,0.05,102.4,190,102.4,162,66.9,188,0.095,23,-10.72,358,95.1,358,105.8,281,-4.26,285
175,Wright State,16,Horz,22-13,22,13,0.6285714285714286,-0.34,106.6,107,106.9,257,68.7,85,0.005,165,-7.15,326,100.1,298,107.3,338,-0.15,165
183,Texas Southern,16,SWAC,19-12,19,12,0.6129032258064516,-0.92,98.1,269,99.1,100,68.0,118,0.014,147,-6.64,315,98.5,341,105.2,254,10.59,9
