Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
45,Mississippi,8,SEC,20-12,20,12,0.625,14.98,112.8,34,97.9,65,68.4,129,-0.018,228,8.57,48,108.9,37,100.3,55,-0.92,195
46,UCF,9,Amer,23-8,23,8,0.7419354838709677,14.59,110.5,58,95.9,35,64.8,312,0.029,104,3.59,77,105.3,108,101.7,63,-3.49,268
47,Minnesota,10,B10,21-13,21,13,0.6176470588235294,14.42,110.8,56,96.4,40,67.5,175,0.082,22,12.01,14,109.9,15,97.9,15,-2.79,249
50,Belmont,11,OVC,27-5,27,5,0.84375,13.68,115.0,19,101.3,115,71.2,32,0.043,77,-2.64,219,103.2,211,105.8,210,3.66,76
51,Murray St.,12,OVC,27-4,27,4,0.8709677419354839,13.44,112.2,41,98.8,80,69.1,97,0.033,98,-4.69,273,102.3,254,107.0,274,-1.06,200
52,Washington,9,P12,26-8,26,8,0.7647058823529411,13.38,107.1,121,93.7,20,65.9,263,0.078,25,4.93,68,106.9,67,101.9,74,2.97,94
54,New Mexico St.,12,WAC,30-4,30,4,0.8823529411764706,13.3,112.6,37,99.3,83,65.6,278,0.061,41,-3.8,247,102.4,250,106.2,226,-2.99,257
56,Seton Hall,10,BE,20-13,20,13,0.6060606060606061,12.76,109.4,74,96.7,48,68.9,105,0.022,123,9.24,40,109.3,28,100.1,52,4.33,57
58,Arizona St.,11,P12,23-10,23,10,0.696969696969697,11.54,109.4,76,97.8,64,70.8,43,0.05,67,4.95,67,106.8,68,101.9,70,1.81,112
62,Liberty,12,ASun,28-6,28,6,0.8235294117647058,10.94,110.7,57,99.7,91,61.8,349,0.006,167,-4.52,269,101.6,285,106.1,221,-2.92,255
73,UC Irvine,13,BW,30-5,30,5,0.8571428571428571,9.42,106.7,129,97.3,57,65.1,296,0.097,10,-4.0,255,102.4,252,106.4,237,1.61,116
77,Vermont,13,AE,27-6,27,6,0.8181818181818182,8.88,108.2,100,99.3,84,65.4,286,0.056,56,-5.87,288,100.4,318,106.3,228,3.63,77
78,Northeastern,13,CAA,23-10,23,10,0.696969696969697,8.76,111.6,48,102.8,144,66.1,254,0.023,118,-0.8,162,106.2,78,107.0,268,6.84,21
79,Yale,14,Ivy,22-7,22,7,0.7586206896551724,8.73,111.9,44,103.1,148,70.7,46,0.057,51,-1.4,179,102.5,241,103.9,140,-1.77,223
98,Northern Kentucky,14,Horz,26-8,26,8,0.7647058823529411,6.88,109.5,73,102.6,139,67.9,145,-0.008,204,-4.0,254,103.3,202,107.3,286,-2.62,243
103,Saint Louis,13,A10,23-12,23,12,0.6571428571428571,6.22,102.6,205,96.4,42,66.1,252,0.045,72,0.3,133,104.1,162,103.8,133,-1.11,201
112,Georgia St.,14,SB,24-9,24,9,0.7272727272727273,5.41,107.9,106,102.5,138,69.9,66,0.126,3,0.73,124,104.9,130,104.1,148,3.75,72
113,Old Dominion,14,CUSA,26-8,26,8,0.7647058823529411,5.29,101.8,224,96.6,45,64.3,325,0.055,60,-2.67,221,101.9,273,104.6,172,-5.67,322
127,Colgate,15,Pat,24-10,24,10,0.7058823529411765,4.36,110.2,65,105.8,203,66.4,236,0.021,127,-4.15,257,102.0,271,106.1,224,1.21,129
137,Montana,15,BSky,26-8,26,8,0.7647058823529411,3.5,107.5,114,104.0,160,66.6,225,0.057,52,-6.66,303,102.1,266,108.8,343,4.38,56
145,Abilene Christian,15,Slnd,27-6,27,6,0.8181818181818182,1.95,103.7,186,101.8,122,66.0,258,0.087,16,-9.19,345,99.6,331,108.8,345,-4.53,297
161,Bradley,15,MVC,20-14,20,14,0.5882352941176471,-0.31,101.1,244,101.4,118,65.1,302,0.04,82,-2.08,206,102.2,262,104.3,154,-3.78,274
167,Gardner Webb,16,BSth,23-11,23,11,0.6764705882352942,-0.52,107.7,109,108.2,252,67.1,197,0.07,28,-4.31,262,102.6,235,106.9,266,-3.67,273
199,Iona,16,MAAC,17-15,17,15,0.53125,-3.01,106.6,133,109.7,274,70.6,48,-0.025,243,-6.58,300,100.2,324,106.8,256,0.9,138
202,North Dakota St.,16,Sum,19-15,19,15,0.5588235294117647,-3.29,107.3,116,110.6,294,64.8,313,0.063,36,-3.42,235,104.4,145,107.9,317,3.55,81
206,Fairleigh Dickinson,16,NEC,21-13,21,13,0.6176470588235294,-3.71,106.7,127,110.5,292,66.7,219,0.019,132,-8.36,339,99.1,336,107.5,297,-1.51,212
