Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
44,Texas,11,SEC,19-15,19,15,0.5588235294117647,17.15,116.7,37,99.5,57,67.4,172,-0.057,317,14.0,20,114.2,23,100.2,20,-8.26,349
46,San Diego State,11,MWC,21-9,21,9,0.7,16.27,109.8,111,93.5,13,66.0,245,0.01,153,8.73,62,111.1,66,102.4,62,13.08,8
49,Vanderbilt,10,SEC,20-12,20,12,0.625,16.16,117.9,30,101.8,83,69.4,64,0.025,112,12.91,33,113.6,30,100.7,36,-6.86,343
51,Memphis,5,Amer,29-5,29,5,0.8529411764705882,15.35,113.1,72,97.8,40,70.8,27,0.09,20,6.03,82,111.1,69,105.0,105,15.59,4
52,Utah State,10,MWC,26-7,26,7,0.7878787878787878,15.22,120.7,17,105.5,149,67.5,159,0.086,25,5.69,87,108.7,95,103.0,70,0.93,139
58,Drake,11,MVC,30-3,30,3,0.9090909090909092,14.14,112.6,76,98.5,46,58.8,364,0.004,167,-0.49,159,107.2,137,107.7,190,-2.68,253
59,McNeese,12,Slnd,27-6,27,6,0.8181818181818182,13.69,114.3,63,100.6,66,65.3,283,-0.023,249,-2.48,208,104.6,268,107.1,164,8.73,24
62,Liberty,12,CUSA,28-6,28,6,0.8235294117647058,13.53,112.5,80,98.9,48,65.3,284,0.0,179,0.41,141,105.9,205,105.5,116,-2.93,259
73,Yale,13,Ivy,22-7,22,7,0.7586206896551724,11.05,115.1,59,104.0,117,67.2,184,-0.041,285,-2.56,214,106.4,176,109.0,258,-0.85,200
83,Lipscomb,14,ASun,25-9,25,9,0.7352941176470589,9.49,112.7,75,103.2,100,65.9,257,-0.028,263,-4.57,282,105.6,220,110.2,334,3.93,69
84,High Point,13,BSth,29-5,29,5,0.8529411764705882,9.3,118.5,25,109.1,227,66.4,222,0.011,146,-5.51,296,104.3,281,109.8,316,-5.9,330
