Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
108,Grand Canyon,15,WAC,17-6,17,6,0.7391304347826086,7.03,103.7,141,96.7,74,65.4,314,-0.061,299,-3.9,255,100.4,244,104.3,270,0.85,199
109,Eastern Washington,14,BSky,16-7,16,7,0.6956521739130435,6.69,107.7,86,101.0,148,72.3,28,-0.081,323,-3.11,234,100.7,237,103.8,245,17.9,12
128,Morehead St.,14,OVC,23-7,23,7,0.7666666666666667,3.94,100.3,212,96.3,70,65.6,312,0.152,3,-1.89,215,101.5,214,103.4,228,16.67,14
145,Drexel,16,CAA,12-7,12,7,0.631578947368421,1.59,107.2,95,105.6,247,64.2,341,-0.043,274,-3.28,242,100.5,243,103.8,243,-5.58,289
151,Oral Roberts,15,Sum,16-10,16,10,0.6153846153846154,1.21,108.8,72,107.6,285,71.8,46,0.013,146,0.07,177,102.9,173,102.8,206,21.54,4
153,Cleveland St.,15,Horz,19-7,19,7,0.7307692307692307,1.17,100.8,200,99.7,123,66.3,282,0.19,1,-1.22,200,105.0,118,106.2,339,20.84,6
182,Iona,15,MAAC,12-5,12,5,0.7058823529411765,-1.1,100.4,209,101.5,160,68.3,185,0.038,92,-7.05,318,97.5,321,104.5,281,-0.36,217
192,Hartford,16,AE,15-8,15,8,0.6521739130434783,-2.8,97.5,254,100.3,128,66.7,268,0.078,32,-6.24,303,98.3,308,104.5,278,-0.2,214
200,Norfolk St.,16,MEAC,17-7,17,7,0.7083333333333334,-3.7,99.5,226,103.2,198,67.7,215,0.048,77,-7.98,329,97.3,322,105.3,311,-0.64,224
220,Texas Southern,16,SWAC,17-8,17,8,0.68,-5.14,99.3,230,104.4,220,71.7,47,0.06,52,-9.6,340,94.3,341,103.9,252,13.51,30
